headline,source,intro
Apple WWDC: Greg Joswiak admits Siri revamp was pulled for falling short,9News,"Apple executive talks AI, Siri and the issues that come with 'getting it right' · Elder Scrolls Online's Game Director Rich Lambert: 'We're not done' · Apple..."
Apple Unveils New AI Features at WWDC—but Siri Overhaul Delayed Again,Bia Ali,"At its Worldwide Developers Conference on June 9, Apple introduced a major design refresh across its operating systems, dubbed “Liquid Glass,” alongside..."
Apple admits its AI-powered Siri 'just doesn't work reliably enough',Yahoo,"Apple has, for the first time, provided a more detailed explanation as to why the new AI-powered version of Siri that it teased last year has been delayed."
How one sentence from Apple’s VP of software engineering at WWDC 2025 may have wiped $75 billion from com,Times of India,"Tech News : Apple's stock plummeted during WWDC, erasing $75 billion in market value, triggered by updates on its AI initiatives, particularly Siri."
Apple's Big Siri Update Still Isn't Ready For Primetime,Mashable India,Our darling voice assistant got shut out during Apple's WWDC 2025 keynote.
Apple unveils a new look but the wait for AI Siri continues,WAtoday,"Cupertino, California: Apple has made a number of announcements at its annual worldwide developer conference (WWDC) overnight, including a visual overhaul..."
Apple is on a mission to supercharge Siri – Gene Munster,MacDailyNews,"There's a lot riding on next year's release of Siri. If Apple delivers, the sky is the limit; if the new Siri falls flat, look out below…"
Apple reportedly targets 'spring 2026' for launch of delayed AI Siri upgrade – but is that too late?,MSN,"The Siri upgrade we've all been waiting for is reportedly coming in 'spring 2026', but will Apple be even further behind its competition by then?"
Apple Fails to Clear a Low Bar on AI,WSJ,The company's hardware-first business model is putting it at a disadvantage in the AI age.
Apple’s Craig Federighi Explains Why Siri Redesign is Taking So Long,iPhone in Canada,"In a post-WWDC interview, Apple's Software Engineering head Craig Federighi explained why the anticipated Apple Intelligence Siri overhaul is taking so..."
"WWDC 2025: Apple highlights AI in apps, but not in Siri",Digit,"Meanwhile, Apple is still stalling. It's an odd contradiction: Apple has the best AI marketing name in the game, but the assistant that should embody it, the..."
Here are Apple’s top AI announcements from WWDC 2025,MSN,The Apple Siri and Apple Intelligence are being displayed on a smartphone screen and in the background. (Photo by Nikolas Kokovlis/NurPhoto via Getty...
Apple Confirms The ‘Personal’ Siri AI Upgrade Not Coming Till Next Year,News18,Apple Siri AI upgrade is not expected to release anytime soon and the company shared the news at the WWDC 2025 keynote this week.
Apple’s AI gamble: is it too late?,The Australian,"Apple's big reveal was short on the AI comeback investors hoped for, while Siri's much-hyped upgrade is still months away. But analysts say the iPhone maker..."
Siri was mostly missing in Apple’s AI updates this week.,The Verge,"The Verge's new senior AI reporter, Hayden Field, noticed we didn't hear the name of Apple's assistant very much during the WWDC 2025 keynote on Monday."
Apple unveiled its biggest software redesign in over a decade,Business Insider,"The tech giant showcased ""Liquid Glass"" for iPads, Mac, and more products at its WWDC developer conference."
Apple’s AI-powered Siri reportedly has a new target date. Will it stick this time?,inkl,"WWDC lacked any Siri news, but a new report gives a time frame when we will see the overhauled assistant."
Apple’s upgraded Siri might not arrive until next spring,MSN,"Apple is aiming to launch the upgraded Siri that it originally previewed at WWDC 2024 in spring 2026 with iOS 26.4, according to Bloomberg."
"Apple Brings Big Software Updates To iPhone, iPad, Mac And More But Stays Silent On Siri",Times Now,"Craig Federighi, Apple's Senior Vice President of Software Engineering, addressed the absence of any major Siri update during the opening keynote at WWDC..."
Apple execs reveal reasons behind AI-driven Siri delay,India Today,"Apple recently unveiled the iOS 26 during the WWDC 2025. While the company spoke about several upcoming features, it hardly mentioned Siri,..."
Apple’s WWDC 2025 kicks off today– Here’s What to Expect￼,Mix93.3,"Apple's WWDC 2025 show kicks off at Apple Park at 10am PT / 1pm ET / 6pm BST on June 9, 2025 – which, as Techradar reports, means we are now very close to..."
Siri AI Upgrade Missed The Mark In First Attempt - Apple’s Software SVP Craig Federighi,Techlusive,"Apple has delayed its Siri AI upgrade to 2026, saying early versions weren't reliable enough to release. Know all details."
"Apple Execs on AI Setbacks, Siri Delays, iPads and More (Full Interview)",Yahoo Finance,WSJ's Joanna Stern sits down with Apple software chief Craig Federighi and marketing head Greg Joswiak at WWDC 2025 in Cupertino to talk about the future of...
WWDC 2025 live: Watch all the latest Apple developments live with us,Digital Camera World,WWDC 2025 is hours away and developments are circulating for photographers and all Apple fans – watch along LIVE with us and get expert commentary.
Shelly Palmer - Apple's polished but predictable WWDC,SaskToday.ca,Think about this: Maybe eventually Siri won't suck.
"Siri AI still planned for iOS 26, but you'll have to wait",inkl,"There's something of an elephant in the room at Apple Park. A little over a year ago, at WWDC 2024, the brand announced a new all-singing, all-dancing,..."
"Apple’s Craig Federighi Admits Siri’s AI Not Ready Yet, New Improved Version Could Arrive In 2026",Times Now,"At WWDC 2025, Apple's senior vice president of Software Engineering Craig Federighi spoke about why the new, smarter version of Siri hasn't launched yet."
Apple aims for Spring 2026 to finally roll out smarter Siri: Report,CNBC TV18,"The impact of the Siri delay extends beyond software. A planned smart home hub—designed to run on the upgraded Siri—has also been postponed,..."
"Apple's AI-powered Siri postponed again, now due in March 2026",NewsBytes,"Apple's enhanced Siri, previewed at WWDC 2024, is now expected to launch in spring 2026 with iOS 26.4 due to unforeseen delays."
Report: Siri's Long-Delayed AI Features May Arrive With iOS 26.4,PCMag Australia,"The update to iOS typically arrives in March. Apple doesn't intend to delay Siri's AI features beyond spring 2026, sources tell Bloomberg."
Apple Bets on Quality in the AI Race; Reson’s behind Siri Overhaul Delay Revealed,Smartprix,"In the high-stakes AI arms race, Apple is definitely taking its own sweet time. In a recent interview with The Wall Street Journal at WWDC 2025,..."
"Apple Gears Up for Smarter Siri by March 2026, Alongside Potential ""Knowledge"" Chatbot Launch",The Hans India,"Apple plans to launch an upgraded, AI-powered Siri in March 2026, with a separate ""Knowledge"" chatbot also reportedly in development."
"Apple's WWDC Was All Glass, No Vision: What's on Tap to Counter OpenAI, Google?",PCMag UK,"Siri was MIA and Apple didn't so much as hint at plans for smart glasses. Instead, we got 'Liquid Glass' and incremental OS updates. Can Apple really afford..."
Apple’s new and more personalised Siri is still not ready a year after it was announced,Tech Guide,"Apple has admitted its personalised Siri features, announced at the 2024 Worldwide Developers Conference keynote, are still not ready a year later."
Apple’s AI event falls flat as iPhone maker struggles,The Telegraph,Investors sent shares downwards as Apple unveiled minor upgrades.
Apple missed one major thing at WWDC 2025,Digital Trends,"Apple's WWDC 2025 keynote was packed with updates across the firm's entire ecosystem. From iPhone, iPad and Watch, to Mac, Vision Pro and Apple TV – there..."
"5 New iOS 26 Features Worth Your Time: Liquid Glass Design, Live Translation, Smarter Siri, More",ABP Live English,"iOS 26 boasts a Liquid Glass UI, enhanced on-device AI, redesigned core apps, and real-time language conversion. Read on for a quick rundown."
No major Siri upgrade announced at WWDC 2025 as Apple confirms delay until next year,Neowin,"However, the roll out was delayed and was suggested to arrive in spring of 2025, with the beta expected to arrive in January 2025. But that also did not happen."
"Apple to launch macOS ‘Tahoe’ at WWDC 2025, Siri's AI upgrade expected to be pushed back",Appuals,"Apple is expected to announce at WWDC that it will rename all of its major operating systems, shifting to a release year–based numbering system moving."
Siri update delay: Apple’s Craig Federighi explains what’s going on,Phandroid,Siri update delay gets candid explanation from Apple's Craig Federighi at WWDC. Here's why the wait continues—and why it could be worth it.
Apple software chief reveals what delayed AI-enhanced Siri,Cult of Mac,"Craig Federighi, Apple's head of software development, finally gave more details on why the AI-enhanced new Siri version got delayed."
Craig Federighi Finally Explains Why Siri Was Delayed—and What’s Coming Next,Android Headlines,"WWDC kicked off yesterday, and as usual, a few Apple execs have gotten face time with different creators, including iJustine, who might be the most."
"Apple WWDC 2025 Event Highlights: Liquid Glass, Live Translation, and More",MobileAppDaily,"Apple unveils Liquid Glass design overhaul and Live Translation at WWDC 2025, while taking a measured approach to AI after Siri delays."
"Apple’s major Siri AI update slips to 2026, reports confirm",GadgetGuy,"Siri was notably absent during much of Apple's WWDC event, with its major update now expected to launch in 2026, much later than planned."
