headline,source,intro,date,datetime
"Bank of Japan’s rate hike hits highest since 2008, Metaplanet shares drop 22%",CryptoSlate,"The Bank of Japan (BoJ) has raised its interest rate to 0.25%, up from 0.1% in March. This is the highest rate since 2008.",31 Jul 2024,2024-07-31
Man Group’s Emily Badger: What positive interest rates means for Japan financials,Portfolio Adviser,"The Bank of Japan delved further into positive interest rate territory last night (30 July), hiking to 0.25% after ending the era of negative rates in March.",31 Jul 2024,2024-07-31
Japan raises interest rates for second time since 2007,The Straits Times,"Follow topic: ... TOKYO – For only the second time in nearly two decades, Japan's central bank on July 31 raised interest rates, a move that could help bolster...",31 Jul 2024,2024-07-31
Bitcoin Keeps Weekly Loss as 'Anti-Risk' Yen Strengthens After BOJ Rate Hike,CoinDesk,"The yen's popularity as a funding currency can cause knock-on effects in other markets, helping tighten global financial conditions, BlackRock said.",31 Jul 2024,2024-07-31
"Bank of Japan Raises Interest Rates, Driving Up Yen - WSJ",The Wall Street Journal,"The Bank of Japan on Wednesday raised its benchmark interest rate and cited concerns about the historically weak yen, leading to a jump in the Japanese...",31 Jul 2024,2024-07-31
"Bank of Japan’s rate hike hits highest since 2008, Metaplanet shares drop 22%",CryptoSlate,"The Bank of Japan (BoJ) has raised its interest rate to 0.25%, up from 0.1% in March. This is the highest rate since 2008.",31 Jul 2024,2024-07-31
Bank of Japan Raises Interest Rates for Second Time Since 2007,"YouTube
 · Bloomberg Television",The Bank of Japan raised its benchmark interest rate and unveiled plans to halve its bond purchases on Wednesday. The BOJ increased its policy rate to...,31 Jul 2024,2024-07-31
Bank of Japan raises benchmark interest rate,"YouTube
 · CNBC International Live",Japan's central bank has raised its benchmark interest rate to around 0.25% from it previous range of 0% to 0.1% and outlined its plan to taper its bond...,31 Jul 2024,2024-07-31
The Bank of Japan raises interest rates for second time this year,BBC,Watch Live Subscribe Sign In Japan hikes interest rates for second time since 2007 30 July 2024 Share Save João da Silva Business reporter,30 Jul 2024,2024-07-30
USD/JPY: Yen Whipsaws in Volatile Trading as Bank of Japan Hikes Interest Rate to 0.25%,TradingView,USD/JPY: Yen Whipsaws in Volatile Trading as Bank of Japan Hikes Interest Rate to 0.25% · Yen seeks direction in volatile moves. · Bank of Japan lifts rates to...,30 Jul 2024,2024-07-30
Japan’s Bank Stocks Climb as BOJ Reported to Consider Interest Rate Hike,Bloomberg,"The BOJ increased its policy rate to around 0.25% from a range of 0 to 0.1%, according to its statement. It also said it would reduce its monthly pace of bond...",30 Jul 2024,2024-07-30
Investors react to BOJ's interest rate hike,Reuters,The Bank of Japan said on Wednesday it is raising its short-term interest rate to 0.25% and will gradually reduce the amount of bonds it is buying under its...,30 Jul 2024,2024-07-30
Bitcoin Investors Are Watching Bank of Japan Moves Ahead of Fed Rate Decision,Decrypt,"The Federal Reserve isn't expected to lower interest rates Wednesday, but the Bank of Japan's move could have consequences for crypto prices.",30 Jul 2024,2024-07-30
"Key Interest Rate Decisions Coming This Week From Fed, BOJ, BOE",CoinDesk,"The Fed is expected to hold policy steady but indicate an imminent rate cut, while the Bank of England is seen easing policy and the Bank of Japan is likely...",30 Jul 2024,2024-07-30
"Key Interest Rate Decisions Coming This Week From Fed, BOJ, BOE",CoinDesk,"The Fed is expected to hold policy steady but indicate an imminent rate cut, while the Bank of England is seen easing policy and the Bank of Japan is likely...",30 Jul 2024,2024-07-30
Why is India borrowing in Japanese Yen,Finshots,An explainer on why both the Indian government and private enterprises are now increasingly borrowing in Japanese Yen.,29 Jul 2024,2024-07-29
BOJ to debate rate hike timing as Fed opens door to cuts,Reuters,"The Bank of Japan will detail plans to taper its huge bond buying and debate the timing of a next interest rate hike on Wednesday, signalling its resolve to...",29 Jul 2024,2024-07-29
Why Global Investors Are Watching What Japan Does Next (Published 2024),The New York Times,"Officials at Japan's central bank are considering when to raise interest rates, as their counterparts in the United States plan to cut them,...",29 Jul 2024,2024-07-29
Will a Japanese Fire Sale Crash U.S. Debt?,The Heritage Foundation,"Profligate government spending has institutionalized multitrillion-dollar annual deficits, which have driven up interest rates and left Treasury markets...",26 Jul 2024,2024-07-26
"Yen gets reprieve as investors see closing gap in Japan, U.S. rates",Nikkei Asia,"Downward pressure on the yen is easing as more investors reverse their bets against the currency, expecting the gap between Japanese and US interest rates to...",25 Jul 2024,2024-07-25
Yen advances for 2nd day ahead of BOJ meeting next week; dollar firmer,朝日新聞,"The yen rose for a second straight session against the dollar on Tuesday, boosted by comments from a senior Japanese politician about normalizing monetary...",24 Jul 2024,2024-07-24
BOJ is said to see weak consumer spending complicating rate call,The Japan Times,Bank of Japan officials see weakness in consumer spending complicating their decision over whether to raise interest rates at a policy meeting next week.,23 Jul 2024,2024-07-23
Is the rise in Japanese yields more scary than dangerous?,Banque de France,"Post No.361. Japan is a major holder of foreign sovereign debt, thanks to its attractive interest rate differential. In 2022, the increase in the cost of...",22 Jul 2024,2024-07-22
Explainer: What are Japan's tactics based on latest suspected intervention?,Reuters,"Japan is suspected to have intervened in the foreign exchange market to prop up the yen on several occasions this month, underscoring its discomfort over...",18 Jul 2024,2024-07-18
"Japan’s Inflation Speeds Up, Keeping BOJ Rate Hike in Play",Bloomberg,"A deeper measure of inflation that strips out fresh food and energy prices rose 2.2% in June, quickening from 2.1% in May. The BOJ has highlighted the measure...",18 Jul 2024,2024-07-18
Japan’s Kono Says Central Bank Needs to Raise Rates to Lift Yen,Bloomberg.com,A prominent minister running Japan's digital agency left the door open for a bid to become prime minister as he called on the central bank to increase...,16 Jul 2024,2024-07-16
Explainer: Why has Japan not intervened yet to support yen?,Reuters,"The yen has been sliding to fresh 38-year lows day by day, with market participants on alert for Japanese authorities to step in again, as they did in March...",11 Jul 2024,2024-07-11
"Japan's credit profile to benefit from higher interest rates, Fitch analyst says",Reuters,Japan's price increases and higher interest rates could benefit the country's credit profile by inflating debt away and promoting productivity.,10 Jul 2024,2024-07-10
The precipitous fall of the Japanese yen,The Week,"Japan's economy has not had a good 2024, to say the least. It entered a short recession in February and now is dealing with a crisis surrounding the...",7 Jul 2024,2024-07-07
"Japan household spending falls unexpectedly, clouds BOJ rate path",Reuters,"Japanese household spending fell unexpectedly in May as higher prices continued to squeeze consumers' purchasing power, data showed on Friday,...",5 Jul 2024,2024-07-05
Exclusive: Japan to launch new floating-rate bonds as BOJ eyes rate hikes,Reuters,"Japan will introduce a new type of floating-rate note that helps investors mitigate the risk from rising bond yields, two government sources told Reuters,...",3 Jul 2024,2024-07-03
The Bank of Japan’s $3 trillion problem,The Japan Times,"As interest rates rise and the deposits it holds become far more expensive, the central bank could end up becoming unprofitable.",2 Jul 2024,2024-07-02
"Japan interest rates could rise to 0.5% by March 2025, says Mizuho Bank CEO",Reuters,"The Bank of Japan (BOJ) could hike interest rates twice by the end of March 2025 to reach 0.5%, reflecting the real growth rate of the Japanese economy.",2 Jul 2024,2024-07-02
"Inflation in Japan's capital accelerates, keeps BOJ rate hike prospects alive",Reuters,"Core inflation in Japan's capital accelerated in June on rising fuel bills and the boost to import costs from a weak yen, data showed on Friday,...",27 Jun 2024,2024-06-27
Yen tumbles to 38-year low vs dollar as market watches closely,朝日新聞,"NEW YORK/LONDON-- The yen dropped to its lowest against the U.S. dollar since late 1986 on Wednesday, amid a wide interest rate differential between the two...",27 Jun 2024,2024-06-27
"Japan Inflation Outlook Jumps, Backing BOJ Case for Rate Hike",Bloomberg,Inflation expectations in Japan have risen to the highest since at least 2004 by one measure as the tumbling yen pressures import prices higher.,26 Jun 2024,2024-06-26
Bank of Japan opens door for a hawkish double surprise,Reuters,"The Bank of Japan is dropping signals its quantitative tightening (QT) plan in July could be bigger than markets think, and may even be accompanied by an...",25 Jun 2024,2024-06-25
Yen's slide only partly due to U.S. rate gap: ex-Japan currency official,Nikkei Asia,The yen should not be considered a safe-haven currency and its recent decline against the dollar can only partially be attributed to the Japan-US interest rate...,23 Jun 2024,2024-06-23
Dollar winning streak extends into fifth week as yen slumps,The Japan Times,The dollar's reign has wreaked havoc in Japan where low interest rates have sent the yen spiraling down more than 11% against the greenback this year.,22 Jun 2024,2024-06-22
"Japan’s Inflation Picks Up, Backing Case for BOJ Rate Hike",Bloomberg,"Japan's inflation accelerated on the back of rising energy costs, a result that backs the case for the central bank to consider raising interest rates in...",20 Jun 2024,2024-06-20
"As Japan Sees Higher Rates on the Horizon, Investors Remain Bullish, Focused",Urban Land Magazine,"Since global central banks began hiking interest rates in 2022, Japan's lower cost of capital has made it a magnet for global investors seeking deals in one...",20 Jun 2024,2024-06-20
Threat of deposit exodus haunts Japan’s regional banks,Financial Times,"This month, Japanese digital lender Sony Bank began offering customers a yen deposit account with a taster annualised interest rate of 10.52 per cent — a...",20 Jun 2024,2024-06-20
Norinchukin sounds warning as higher-for-longer rates inflict losses,The Japan Times,"For years, it was best known as Japan's Collateralized Loan Obligation (CLO) whale — a ¥56.4 trillion ($357 billion) investing giant with seemingly...",20 Jun 2024,2024-06-20
Japan's Century-Old Bank Sends Warning to World on Higher-for-Longer Rates,Bloomberg.com,Norinchukin Bank has become one of the biggest casualties of an entirely different financial world — where higher-for-longer borrowing costs are exacting a...,20 Jun 2024,2024-06-20
Japan’s century-old Norinchukin Bank gives warning over losses from higher-for-longer rates,The Straits Times,"TOKYO – For years, it was best known as Japan's collateralised loan obligations (CLO) whale – a US$357 billion (S$482 billion) investing giant with a...",20 Jun 2024,2024-06-20
Japan Post Bank to buy more bonds in light of BOJ taper plan,The Japan Times,Japan Post Bank said on Thursday it will expand investment into long-term government bonds to take advantage of rising yields.,20 Jun 2024,2024-06-20
The Bank of Japan has decided to adopt a particularly accommodative policy. Interest rates held at -0.1%.,วารสารการเงินธนาคาร,The Bank of Japan has decided to adopt a particularly accommodative policy. Fix interest rates at -0.1% and maintain Japanese government bond yields.,17 Jun 2024,2024-06-17
The Declining Yen and Its Impact on Japan,The Borgen Project,"Japan has experienced a declining yen, its weakest in history, leading to a rapid economic decline. Businesses relying on imported goods are facing even...",16 Jun 2024,2024-06-16
"Bank of Japan to trim bond buying, keeps rates steady",The Economic Times,The Bank of Japan kept ultra-low interest rates on Friday but decided to start trimming its huge bond purchases in a slow but steady retreat from its massive...,14 Jun 2024,2024-06-14
"BOJ leaves open possibility of rate hike, bond buy reductions in July",Nikkei Asia,"TOKYO -- The Bank of Japan on Friday decided to reduce its purchases of Japanese government bonds, but only after collecting views from market partici.",14 Jun 2024,2024-06-14
BOJ Triggers Yen Slump With Lack of Detail on Bond Buying Cuts,Bloomberg.com,"The Bank of Japan is making investors wait until its July meeting for details on its paring of bond buying, leaving the yen vulnerable to further declines.",14 Jun 2024,2024-06-14
"Japan’s banks expect gradual interest rate rise, continued local lending growth",The Globe and Mail,"“The BOJ will raise rates extremely gradually while ascertaining the effect on the market,” Akihiro Fukutome, head of the Japan Bankers Association, told a...",13 Jun 2024,2024-06-13
BoJ versus MoF: Who will win Japan's monetary tug-of-war?,Investment Week,Trium Larissa Global Macro's Anton Tonev examines the upcoming Bank of Japan's interest rate decision ahead of the meeting.,13 Jun 2024,2024-06-13
Asian shares are mixed ahead of a Fed decision on interest rates,朝日新聞,"Shares were mixed Wednesday in Asia ahead of a decision by the Federal Reserve on interest rates. In Japan, higher inflation and falling wages raised questions.",12 Jun 2024,2024-06-12
Monetary policy FAQs: Bank of Japan,S&P Global,"We explore why the Bank of Japan raised interest rates, what its next moves could be, and how this could impact Japan's economy.",12 Jun 2024,2024-06-12
Japan market interventions will not work forever: Kenneth Rogoff,Nikkei Asia,"NEW YORK -- With the Japanese yen hovering at weak levels against the dollar and showing no sign of strengthening significantly, the government is tak.",12 Jun 2024,2024-06-12
"BOJ to keep ultra-low rates, debate fate of huge bond buying",Reuters,The Bank of Japan is expected to keep interest rates steady on this week and consider whether to offer clearer guidance on how it plans to reduce its huge...,11 Jun 2024,2024-06-11
What’s the Next Step for the Bank of Japan?,AllianceBernstein,"Passive quantitative tightening could be the Bank of Japan's next step toward normalization. Here's why. In March, the Bank of Japan (BOJ) abolished its...",6 Jun 2024,2024-06-06
Japan’s falling yen and fiscal space,Brookings,"The falling yen is really about Japan's large debt burden, which forces the Bank of Japan to cap long-term government bond yields.",6 Jun 2024,2024-06-06
"Japan's Resona won't slow reforms despite lift from higher rates, CEO says",Nikkei Asia,Resona Holdings President and Group CEO Masahiro Minami signaled plans to aggressively reform the group through digital investments and acquisitions.,4 Jun 2024,2024-06-04
The State of the Nation: ‘Cheap’ yen has greater impact on travellers than on trade,The Edge Malaysia,JAPAN appears to be one of the most popular countries to visit at the moment given how common it is to encounter someone who has either just returned from...,3 Jun 2024,2024-06-03
Cover Story: Yen’s Decline Tied to U.S.-Japan Rate Gap Is Seen Stretching to 2025,Caixin Global,"1 yuan now could exchange into nearly 22 yen, up more than 10% from the year's start. As of May 30, the yuan has climbed a staggering 46% against yen from its...",3 Jun 2024,2024-06-03
Japan’s 30-Year Bond-Swap Rate Gap Widens to Most Since 2012,Bloomberg,"In another sign of rising interest rates in Japan, the gap between 30-year government bond yields and swaps contracts has widened to the most in a more than...",30 May 2024,2024-05-30
Two cheers for the end of free money in Japan,The Japan Times,The end of Japan's experiment in ultralow interest rates may be less of a shock to the system than feared. Corporations are better prepared for more...,30 May 2024,2024-05-30
Japan's MUFG looks to restore JGB holdings as interest rates rise,Nikkei Asia,Mitsubishi UFJ Financial Group plans to build its holdings of Japanese government bonds back up if the Bank of Japan raises interest rates in earnest.,30 May 2024,2024-05-30
Yen nears record low versus euro on carry and interest rate outlook,The Japan Times,The Japanese currency has weakened 1.5% against the euro this month and is approaching its previous record low of ¥171.56 reached on April 29. While the Bank of...,29 May 2024,2024-05-29
Japan’s interest rate rise exposes regional bank vulnerabilities,TheBanker.com,Japan's regional banks are more likely to feel the impact of interest rate rises on their long-term investments than the country's megabanks.,29 May 2024,2024-05-29
"Japan's inflation slows further, keeping BOJ cautious on rate hikes",朝日新聞,"Japan's core inflation slowed for a second straight month in April, likely signaling that the Bank of Japan will be patient in raising interest rates as...",24 May 2024,2024-05-24
Long-term interest rate hits 1% for first time since May 2013,朝日新聞,Market speculation that the Bank of Japan may further revise its monetary easing policy apparently pushed up a key long-term interest rate to a level not...,23 May 2024,2024-05-23
Failed bond bets at Norinchukin force it to change strategy,The Japan Times,"Japan's premier agricultural bank, Norinchukin, is planning a complete overhaul of its investment strategy after massive losses on its overseas portfolio.",23 May 2024,2024-05-23
Gold's role in a changing Japanese macro environment,World Gold Council,"The Bank of Japan (BoJ) waved goodbye to its negative interest rate policy on 18 March 2024, lifting its interest rate to a range of zero to 0.1%.",23 May 2024,2024-05-23
The Japanese yen will likely remain weak for months to come,Goldman Sachs,"The Japanese yen has been steadily depreciating since the beginning of the year, thanks in part to the delayed prospect of rate cuts by the US Federal...",22 May 2024,2024-05-22
Japan’s 10-year yield tops 1% for first time in 11 years,Financial Times,Investors have been increasing bets BoJ will raise interest rates further.,22 May 2024,2024-05-22
Japan's 10-year government bond yield hits 1% for first time in 11 years,Nikkei Asia,"TOKYO -- Japan's 10-year government bond yield rose to a 11-year high, as the Bank of Japan moves to normalize its interest rate policy and investors.",22 May 2024,2024-05-22
Rising Rates: Narrowing Window for Japan’s Fiscal Consolidation,AMRO ASIA,"Despite the steady recovery of the Japanese economy, the government has continued to pursue an expansionary fiscal policy.",21 May 2024,2024-05-21
US homelessness skyrockets as interest rates escalate,NHK,US homelessness skyrockets as interest rates escalate ... Voice created by a text-to-speech service. Life is good for some people in the United States right now...,21 May 2024,2024-05-21
"Japan may have escaped deflation only to risk stagflation instead, as the country's economy slumps for 3 straight quarters",Fortune,"Japan's economy shrank by an annualized rate of 2% in the first quarter of 2024, as a weak yen and inflation drag down spending.",16 May 2024,2024-05-16
"BOJ May Raise Rates as Soon as June, Ex-Chief Economist Says",Bloomberg,"The Bank of Japan may raise its benchmark interest rate as many as three more times this year, with the next move potentially coming as early as June given...",16 May 2024,2024-05-16
Japan's top 3 banks to log record profit on high overseas interest,Nikkei Asia,TOKYO -- Japan's top three banking groups are expected to report a record combined net profit of around 3 trillion yen ($19.3 billion) for the year en.,12 May 2024,2024-05-12
"Japan Should Target 120 Range for Yen, Business Leader Says",Bloomberg,Japan's government and central bank should start targeting an exchange rate of 120-130 per dollar as the yen is currently far too weak for struggling small...,9 May 2024,2024-05-09
Is Yen Weakness Tied to Japan’s High Debt Levels?,CME Group,The yen has tumbled to multi-decade lows against the U.S. dollar following Japan's exit from negative interest rates.,2 May 2024,2024-05-02
Japan’s Cautionary Economic Tale,American Enterprise Institute,"Troubles are coming to the Japanese economy not as single spies but in battalions. Its economy is in recession, its public finances are on an unsustainable...",1 May 2024,2024-05-01
Why the yen is so weak and what that means for Japan,The Business Times,"The yen has been plumbing three-decade lows against the US dollar, mainly because interest rates in Japan remain much lower than those in the US and elsewhere.",1 May 2024,2024-05-01
"Why Japan’s currency is cratering right now, even though its stock market is red hot",Fortune,"There are several reasons for the yen's underperformance compared to the dollar, but the main one is clear: rising U.S. interest rates.",30 Apr 2024,2024-04-30
Why has the yen fallen to a decade’s low and what does it mean for Japan’s economy?,The Guardian,The accelerating slide in the value of Japan's currency could ultimately be bad news for people in Japan who are heavily reliant on imports.,30 Apr 2024,2024-04-30
Japan is wrong to try to prop up the yen,The Economist,"In 2022 Japan spent more than $60bn of its foreign-exchange reserves defending the yen, its first intervention to strengthen the currency since 1998.",30 Apr 2024,2024-04-30
Why is Japan’s yen falling and why is it so weak against the US dollar?,Al Jazeera,The weakness of the Japanese currency is back in the spotlight after sinking to its lowest level since April 1990.,30 Apr 2024,2024-04-30
Is Japan having a currency crisis?,Noahpinion | Noah Smith,"Japan's currency isn't in free fall yet, but it might be getting there. The yen has been weakening since 2021, but in the last month the slide has accelerated.",29 Apr 2024,2024-04-29
"BOJ maintains interest rates, sends yen to new 34-year low",朝日新聞,"The Bank of Japan decided to maintain its current monetary policy after a two-day meeting on April 26, sending the Japanese currency to a fresh low in 34 years.",26 Apr 2024,2024-04-26
"Bank of Japan keeps monetary policy unchanged, sees slightly higher inflation in fiscal 2024",CNBC,"The Bank of Japan kept its policy rate unchanged Friday after its monetary policy meeting, holding its benchmark policy rate at 0%-0.1%.",25 Apr 2024,2024-04-25
Why the yen is so weak and what that means for Japan,The Straits Times,"WASHINGTON – The yen has continued to. languish near its historic low versus the US dollar. , mainly because interest rates in Japan remain much lower than...",25 Apr 2024,2024-04-25
Japan’s Big Bet on Interest Rates May Not Pay Off,Foreign Policy,Japan's big bet on interest rates may not pay off. A vote of confidence in the future may be undercut by a lukewarm economy.,25 Apr 2024,2024-04-25
Explainer: Where Japanese yen to go after hitting 34-year low,Xinhua,"Photo taken on April 20, 2022 shows the Japanese yen and U.S. dollar banknotes in Tokyo, Japan. (Xinhua/Zhang Xiaoyu). Local analysts believe that the yen's...",24 Apr 2024,2024-04-24
Why Japan’s GDP will once again exceed that of Germany in the near future,ThinkChina,Japanese academic Takao Komine explains the reasons behind Japan falling behind Germany in the GDP rankings and discusses the possible implications of this...,23 Apr 2024,2024-04-23
Japan’s interest rate increase raises questions of volatility,TheBanker.com,"At a glance ... Japan has ended its strategy of negative interest rates, ending more than a decade of loose monetary policy. The Bank of Japan has increased...",18 Apr 2024,2024-04-18
Financial System Report (April 2024),日本銀行ホームページ,"This issue of the Report takes a deep dive into real estate risk and interest rate risk, which should be closely monitored for the time being.",18 Apr 2024,2024-04-18
The Japanese yen in a turbulent global economy,9DashLine,Written by Dr Seohee Park. Japan's currency policy will continue to be a subject of international scrutiny as it is intertwined with the country's strategic...,18 Apr 2024,2024-04-18
Berkshire sells ¥263.3 billion of bonds in its biggest yen debt deal since 2019,The Japan Times,Warren Buffett's Berkshire Hathaway priced ¥263.3 billion ($1.71 billion) of bonds in the firm's largest yen debt deal since its debut sale in the currency in...,18 Apr 2024,2024-04-18
Japan: the yen plunges to 34-year low despite interest rate hike,The Conversation,"It is often thought that the low rates have contributed to a weak yen, since investors could earn higher interest by investing in other currencies. But the yen...",16 Apr 2024,2024-04-16
Some brief comments on the RM with reference to Japan ― Jason Loh,Malay Mail,APRIL 16 ― That the ringgit (RM) isn't alone in being undervalued can be compared in reference to the Japanese yen (JPY) which is also in a similar...,16 Apr 2024,2024-04-16
Japanese monetary policy under the economy’s new normal,East Asia Forum,"As Japan manages its massive demographic transition, policymakers must be ambitious enough to tackle the challenges and opportunities of a maturing economy.",15 Apr 2024,2024-04-15
Japan's yen sinks to fresh 34-year low against dollar,Nikkei Asia,"The yen dropped to the mid-154 range against the dollar on Monday, touching the lowest level since June 1990 as speculation about early US interest rate cuts...",15 Apr 2024,2024-04-15
"Bank of Japan reverses gear on monetary policy, back to managing inflation",East Asia Forum,"The Bank of Japan's decision to lift interest rates marks a monumental shift in its monetary policy, but is unlikely to have a visible impact for the...",14 Apr 2024,2024-04-14
Takahide Kiuchi's View - Insight into World Economic Trends : Bank of Japan Set to Break Away From Unprecedented Easing,Nomura Research Institute (NRI),"The Bank of Japan rescinded the negative interest rate policy it had maintained for approximately eight years, and it raised interest rates for the first time...",12 Apr 2024,2024-04-12
What Could Derail Gold’s Bull Run? Watch Japan,Bloomberg.com,The weak yen looks to be at least one factor behind the recent burst of enthusiasm for the precious metal.,10 Apr 2024,2024-04-10
Berkshire plans to sell first yen bonds since BOJ move,The Japan Times,"The U.S. company last turned to the yen bond markets in November, with a ¥122 billion ($803 million) five-tranche deal.",9 Apr 2024,2024-04-09
Spotlight: Best-Rated Japan Funds For Your Portfolio,Morningstar,"It hasn't been a great decade for Japan index investors, despite the latest rally, but these funds have put in a respectable performance.",9 Apr 2024,2024-04-09
Japan Joins the Rate-Hike Club As Rate Cuts Loom,CME Group,The Bank of Japan (BoJ) brought the country out of its eight-year long experiment with negative interest rates by raising borrowing costs for the first time in...,8 Apr 2024,2024-04-08
Japan’s interest-rate hike won’t deter commercial property investment: analysts,South China Morning Post,The end of Japan's ultra-loose monetary policy is unlikely to deter foreign investors from snapping up commercial real estate in the world's fourth-largest...,7 Apr 2024,2024-04-07
Japan had a vibrant economy. Then it fell into a slump for 30 years. : Planet Money,NPR,"Last month, Japan's central bank raised interest rates for the first time in 17 years. That is a really big deal, because it means that one of the spookiest...",5 Apr 2024,2024-04-05
Why even the BOJ's historic rate hike has failed to revive the yen,The Japan Times,Japan's first interest rate hike in 17 years has failed to deliver the boost to the yen that policymakers had hoped for.,4 Apr 2024,2024-04-04
