title,date,content
10-year Treasury yield falls from highs after auction eases concerns about demand for U.S. debt,"PUBLISHED WED, APR 9 20255:42 AM EDT","The 10-year Treasury yield retreated from its highs of the day after a successful bond auction eased concerns about demand for U.S. debt. The bond market — not a plunging stock market — has been the talk of Wall Street with prices tumbling and yields spiking, unusual action during times when fears of a recession are growing and fixed income is usually relied on as a safe haven from turmoil elsewhere. But yields were backing off the highs Wednesday afternoon. A 90-day pause in some tariffs announced by President Donald Trump helped to eased some mounting worries in the fixed income market. The 10-year Treasury note yield was last up 5 basis points to 4.31% after climbing overnight above 4.51%. As recently as last week, the 10-year yield, which helps decide rates on mortgages, credit card debt and auto loans, was below 3.9%. The 30-year Treasury bond yield
hit a high of 5.02% overnight, a level not seen since November 2023. It was last at 4.715%. The 2-year Treasury yield rose nearly 17 basis points to 3.908%, jumping in afternoon trading. The upward move for short-term yields could be a sign that traders think the tariff pause will make the Federal Reserve less likely to cut rates at its upcoming meetings. One basis point is equivalent to 0.01%. Yields and prices move in opposite directions. The bid-cover ratio for the auction of $39 billion in 10-year Treasurys was 2.67, much higher than the prior 10-year auction, indicating strong demand. So-called indirects accounted for more than 87% of the bids, signaling solid demand from holders such as foreign investors."
CNBC Daily Open: The humongous 104% tariff on China is live — even Musk seems perturbed,"PUBLISHED WED, APR 9 20252:30 AM EDT","Trump tariffs have officially kicked in — and they include a ghastly 104% duty on Chinese imports.  Despite growing consternation and concern expressed by economists and CEOs, Trump administration officials have been stubborn in defending its trade policies. Treasury Secretary Scott Bessent told CNBC Tuesday that roughly 70 countries want to discuss deals with the White House, while trade advisor Peter Navarro on Friday said tariffs are not negotiable. (Whether discussing deals is a form of negotiation is apparently debatable.)  But at least one member of the Trump cadre doesn’t seem too happy about the tariffs. Elon Musk, while not addressing the White House’s trade policies specifically, described Navarro — the administration’s top trade advisor — as a “moron” and “dangerously dumb.” Musk is the de facto DOGE leader, a key role in the Trump administration. He is also the CEO of Tesla, a multinational company. Still, given how staunchly White House officials have been advocating for tariffs, it doesn’t seem likely that Musk’s public feud with Navarro will staunch the wound on global trade."
"Cambodia hit with highest Trump tariff but manufacturing ‘absolutely not’ coming back to U.S., trade group says","PUBLISHED TUE, APR 8 20258:07 AM EDT",
Bond yields tank around the world as investors take cover amid equity rout,"PUBLISHED MON, APR 7 20258:44 AM EDT",
"Japanese yen and Swiss franc top hedges against Trump tariffs, according to analysts","PUBLISHED MON, APR 7 20251:18 AM EDT",
Cramer’s week ahead: Banks kick off critical earnings season,"PUBLISHED FRI, APR 4 20256:32 PM EDT","Monday - Friday, 6:00 - 7:00 PM ET"
Trump’s new tariffs construct a $1 trillion trade wall around the U.S. economy,"PUBLISHED THU, APR 3 20253:45 PM EDT",
CNBC’s Inside India newsletter: How far is India from creating its own DeepSeek?,"PUBLISHED THU, APR 3 20252:50 AM EDT","Monday - Friday, 11:00 - 12:00 SIN/HK | 0500 - 06:00 CET"
"China urges U.S. to ‘immediately’ cancel reciprocal tariffs, vows countermeasures","PUBLISHED WED, APR 2 202510:30 PM EDT",
CNBC Daily Open: Stocks had worst quarter in years amid Trump tariff chaos,"PUBLISHED TUE, APR 1 20253:30 AM EDT","Monday was the last trading day of the quarter. U.S. stocks took a heavy beating during the period: Both the S&P 500 and Nasdaq Composite broke their five-quarter winning streaks and suffered their heaviest three-month losses since 2022. The Nasdaq remains in correction territory. But it won’t be the last tumult stocks will experience. Reciprocal tariffs on “all countries” will start Wednesday, U.S. President Donald Trump said Sunday. While Trump has described the start of his tariffs as “liberation day,” others aren’t seeing it in quite so glowing terms. Goldman Sachs, for one, cut its forecast for U.S. economic growth and raised its expectation for the inflation rate in 2025, suggesting the possibility of stagflation. And if not stagflation — recession. The Wall Street giant also slashed its projection for the S&P 500 accordingly. If the first quarter of the year was bumpy, the second could be much more treacherous."
International visitors pour into Japan — to the delight and dismay of its ski towns,"PUBLISHED TUE, APR 1 202512:30 AM EDT",
CNBC Daily Open: Stocks were trounced in the first quarter amid Trump tariff chaos,"PUBLISHED MON, MAR 31 20258:28 PM EDT","Monday was the last trading day of the quarter. U.S. stocks took a heavy beating during the period: Both the S&P 500 and Nasdaq Composite broke their five-quarter winning streaks and suffered their heaviest three-month losses since 2022. The Nasdaq remains in correction territory. But it won’t be the last tumult stocks will experience. Reciprocal tariffs on “all countries” will start Wednesday, U.S. President Donald Trump said Sunday. While Trump has described the start of his tariffs as “liberation day,” others aren’t seeing it in quite so glowing terms. Goldman Sachs, for one, cut its forecast for U.S. economic growth and raised its expectation for the inflation rate in 2025, suggesting the possibility of stagflation. And if not stagflation — recession. The Wall Street giant also slashed its projection for the S&P 500 accordingly. If the first quarter of the year was bumpy, the second could be much more treacherous."
The ‘Dirty 15’ percent: Some countries will take a harder hit from Trump’s tariffs,"PUBLISHED MON, MAR 31 20253:25 PM EDT",
This bond fund manager dropped out of a Ph.D program to find her passion in finance,"PUBLISHED MON, MAR 31 20252:47 PM EDT",
CNBC’s Inside India newsletter: What ails India’s manufacturing?,"PUBLISHED THU, MAR 27 20258:50 AM EDT","Monday - Friday, 11:00 - 12:00 SIN/HK | 0500 - 06:00 CET"
CNBC Daily Open: Damage from tariffs and DOGE cuts is growing visible,"PUBLISHED FRI, MAR 21 20253:30 AM EDT","The Trump administration’s radical overhaul of the federal government and economic policy is bleeding into corporate earnings. Nike reported earnings Thursday, and cautioned that it expects sales in its current quarter to plunge because of tariffs and sliding consumer sentiment. Accenture, meanwhile, said its revenue has been hit by a reduction in contracts with the U.S. government as the latter reins in spending. Those are warnings of the economic damage that countries could suffer — on a wider scale — when U.S. President Donald Trump’s reciprocal tariffs come into effect April 2, as he had warned. Across the Atlantic, the European Union postponed its tariffs on the U.S. as it hopes to negotiate a new deal with Trump — and insulate its economy from the blows already seen in corporate America."
CNBC Daily Open: DOGE cuts and tariffs hit Accenture and Nike hard,"PUBLISHED THU, MAR 20 20259:02 PM EDT","The Trump administration’s radical overhaul of the federal government and economic policy is bleeding into corporate numbers. Nike reported earnings Thursday, and cautioned that it expects sales in its current quarter to plunge because of tariffs and sliding consumer sentiment. Accenture, meanwhile, said its numbers have been hit by a reduction in contracts with the U.S. government as the latter reins in spending. Those are warnings of the economic damage that countries could suffer — on a wider scale — when U.S. President Donald Trump’s reciprocal tariffs come into effect April 2, as he had warned. Across the Atlantic, the European Union is trying to insulate its economy from such blows, postponing its tariffs on the U.S. as it hopes to negotiate a new deal with Trump."
"Japan core inflation rose 3% in February, bolstering expectations of interest rate hikes","PUBLISHED THU, MAR 20 20257:33 PM EDT",
Foreign visitors have been driving Japan’s economy. A stronger yen could reverse that trend,"PUBLISHED WED, MAR 19 202510:50 PM EDT",
Bank of Japan keeps rates steady as Trump tariffs cast a shadow over economic outlook,"PUBLISHED TUE, MAR 18 202510:29 PM EDT",
CNBC Daily Open: Markets rise for the second day as U.S. consumers continue spending,"PUBLISHED TUE, MAR 18 20253:30 AM EDT","The Wall Street adage to never bet against the U.S. consumer still holds true — to some degree. February’s retail sales, while lower than expected, still registered an increase. For the skeptics, that is like desperately squinting for a silver lining. It might very well be. But the dark clouds, in the form of U.S. President Donald Trump’s tariffs, are more ominous than usual. Tariffs, after all, are a tax on imported goods that will likely be passed on to the consumer. That has weighed on consumer sentiment, as measured by surveys like those from the University of Michigan. Even U.S. National Economic Council Director Kevin Hassett acknowledged that Trump’s tariffs will cause some uncertainty. The Organisation for Economic Co-operation and Development has already lowered its growth outlook for the U.S. because of that. While the Trump administration is confident that stocks will recover their footing, strategists may also start revising downward their market forecast if the outlook does not clear up."
Could the ‘Magnificent Seven’ rise from the ashes? Here’s why I think it’s possible,"PUBLISHED SUN, MAR 16 20255:04 PM EDT","Two years ago this month, we saw the ascendance of what would ultimately become the “Magnificent Seven.” I recall the moment well. I was down in Florida, trying to get a few days of sun with my wife, Lisa, and next thing I know I found myself buying makeup at Target to be able to do the Morning Meeting with my partner, Jeff. Silicon Valley Bank had just collapsed, and things were just too crazy not to try to make sense of the morass for Club members — even as I was trying to make sense of things for myself. Foremost, I didn’t want to look washed out on a Zoom call. Thank heavens for E.l.f. Beauty
."
"Private equity is heading for a shake-up, experts say: ‘This market actually is a good reset’","PUBLISHED THU, MAR 13 20258:34 PM EDT","CONVERGE LIVE - Singapore, March 12-13 2025 - Request invitation"
Asia-Pacific markets trade mixed despite tariff uncertainty and recession fears in the U.S.,"PUBLISHED TUE, MAR 11 20257:38 PM EDT",
"Japan revises fourth-quarter GDP lower, complicating BOJ’s interest rate outlook","PUBLISHED MON, MAR 10 20257:57 PM EDT",
CNBC Daily Open: The impact of Trump policies will affect Fed’s interest rate moves,"PUBLISHED MON, MAR 10 20253:30 AM EDT","The U.S. nonfarm payrolls report for February was weaker than expected, but the silver lining is that the number of jobs added for the month was higher than in January. That said, the layoff of federal workers by Elon Musk’s Department of Government Efficiency happened after the survey was conducted, CNBC’s Jeff Cox noted, which means the downward drag on data would likely appear only in March’s jobs report. One immediate apparent effect of DOGE, on the other hand, is the seven-week slide in Tesla shares ever since Musk stationed himself in Washington, D.C. The actions of DOGE, along with other policies that U.S. President Donald Trump is deploying to reshape the U.S., are so drastic that the Federal Reserve is taking note and getting into a wait-and-see stance. But investors aren’t waiting — they’re seeing the confusion and dumping stocks already."
CNBC Daily Open: Trump paused tariffs for some imports — but Nasdaq enters correction territory,"PUBLISHED FRI, MAR 7 20252:30 AM EST","U.S. President Donald Trump expanded his tariff pause to goods coming in from Canada and Mexico, so long as they satisfy terms of the United States-Mexico-Canada Agreement, a trade deal between all countries. Unlike Trump’s Wednesday reprieve to automakers, which bumped up stocks, investors weren’t relieved this time. All major U.S. benchmarks sank, with the Nasdaq Composite limping into correction territory and losing its post-election Trump bump. That might be because the Trump administration seems to be doubling down on tariffs, even as it acknowledges — and dismisses — the repercussions of such levies. Trump brushed off the idea that he’s watching the markets, causing dismay in investors who were banking on the “Trump put,” the idea that the current president would prevent a steep drop in the stocks. Meanwhile, U.S. Treasury Secretary Scott Bessent waved away the idea of “cheap goods” as integral to the “American dream.”"
Global bonds sell off as investors react to Trump’s tariffs and a German ‘paradigm shift’,"PUBLISHED THU, MAR 6 20257:43 AM EST",
CNBC Daily Open: Nvidia’s earnings are steady — but U.S. consumer confidence is shaky,"PUBLISHED THU, FEB 27 20252:30 AM EST","Nvidia’s revenue in 2024 more than doubled compared with a year earlier, beating analysts’ expectations. Moreover, the company expects sales in the current quarter will continue to grow at a faster rate than Wall Street’s estimates. Much of that falls upon Nvidia’s new Blackwell artificial intelligence chip, which Big Tech companies are pouring billions into. The chipmaker also downplayed concerns over DeepSeek, saying that more efficient AI models still require plenty of processing power in the long run. Meanwhile, consumer surveys from the Consumer Board and the University of Michigan show intensifying concerns over the economy and inflation. That’s culminated in the 10-year Treasury yield passing below that of the 3-month note, causing an “inverted yield curve” — an accepted, and largely accurate, sign of an impending recession within 18 months. Even as Nvidia is raking in revenue and Big Tech is powering ahead with capex, confidence in the U.S. economy seems to be wobbling slightly. It remains to be seen if tech can stabilize that."
CNBC’s Inside India newsletter: How India’s emerging as a formidable player in defense,"PUBLISHED THU, FEB 27 20252:23 AM EST","Monday - Friday, 11:00 - 12:00 SIN/HK | 0500 - 06:00 CET"
CNBC Daily Open: U.S. takes aim at neighbors with tariffs again,"PUBLISHED TUE, FEB 25 20252:30 AM EST","It’s quiet… too quiet. After a few quiet weeks on the tariff front, U.S. President Donald Trump has again set his sights on Canada and Mexico, promising that tariffs paused earlier this month will “go forward” next week.  Trump signed executive orders on Feb. 1 imposing 25% tariffs on products from Mexico and Canada, as well as 10% duties on Canadian energy. Separately, the row between U.S. federal workers and Elon Musk’s Department of Government Efficiency continued after the Office of Personnel Management seemed to undermine Musk’s threat to federal workers.  Musk’s DOGE had sent out an email to all federal workers last week, saying those who fail to submit a list of their recent accomplishments will face a forced “resignation.” OPM later notified top government human resources officers that responses to the email “is voluntary.” But Musk then doubled down on his threat, saying in a post on X on Monday night “Failure to respond a second time will result in termination.” — Lim Hui Jie"
Here’s my strategy for the stock market this week after Friday’s brutal sell-off,"PUBLISHED SUN, FEB 23 20259:13 PM EST","People love to talk about the straw that broke the camel’s back. I think an anvil broke the bull market’s back last week. A straw would never have done it because, until last week, I didn’t see a lot on the back of a bull that would cause a straw to do the job. But it seems like an anvil, a metalworking tool, could break anything, and that’s what it feels like is happening."
"Japan’s inflation rate climbs to a 2-year high of 4% in January, supporting rate hike calls from BOJ members","PUBLISHED THU, FEB 20 20256:40 PM EST",
CNBC’s Inside India newsletter: How natural gas could help solve the India-U.S. trade dispute,"PUBLISHED THU, FEB 20 20255:29 AM EST","Monday - Friday, 11:00 - 12:00 SIN/HK | 0500 - 06:00 CET"
"CNBC Daily Open: The Fed, concerned over Trump tariffs, might hold rates","PUBLISHED THU, FEB 20 20252:30 AM EST","Members of the U.S. Federal Reserve’s rate-setting committee unanimously agreed to hold rates steady in January because they were, in part, worried about the impact that U.S. President Donald Trump’s tariffs would have on inflation. As if proving the Fed prescient, Trump announced on Tuesday (more) possible tariffs on targeted sectors. Apple launched a new low-cost iPhone on Wednesday in a bid to expand its market share. The competitively priced — in relation to its regular models — smartphone might not be as attractive in value if tariffs force Apple, among other U.S. companies, to raise prices. That said, the stock market was unshaken, with the S&P 500 merrily climbing its way to another record close. Stocks are buoyed by a healthy U.S. economy, and Fed officials are optimistic about the economic outlook, according to minutes from their January meeting, which might also complicate progress towards bringing down inflation."
CNBC Daily Open: The Fed might pause rates over Trump tariff concerns,"PUBLISHED WED, FEB 19 20258:43 PM EST","Members of the U.S. Federal Reserve’s rate-setting committee unanimously agreed to hold rates steady in January because they were, in part, worried about the impact that U.S. President Donald Trump’s tariffs would have on inflation. As if proving the Fed prescient, Trump announced on Tuesday (more) possible tariffs on targeted sectors. Apple launched a new low-cost iPhone on Wednesday in a bid to expand its market share. The competitively priced — in relation to its regular models — smartphone might not be as attractive in value if tariffs force Apple, among other U.S. companies, to raise prices. That said, the stock market was unshaken, with the S&P 500 merrily climbing its way to another record close. Stocks are buoyed by a healthy U.S. economy, and Fed officials are optimistic about the economic outlook, according to minutes from their January meeting, which might also complicate progress towards bringing down inflation."
Here’s a potential winner from the Trump tariffs: American tourists traveling abroad,"PUBLISHED FRI, FEB 14 20252:00 PM EST",
Asian economies scramble to appease Trump as the U.S. president ratchets up tariff threats,"PUBLISHED MON, FEB 10 202510:45 PM EST",
"Low expectations for China provide a big opportunity for returns, strategist says","PUBLISHED MON, FEB 10 20251:24 AM EST",
CNBC Daily Open: Global central banks are lowering rates — the Fed might not be as inclined,"PUBLISHED FRI, FEB 7 20252:30 AM EST","On Friday, the Reserve Bank of India trimmed its repo rate by 25 basis points. A day prior, the Bank of England lowered interest rates by 25 basis points, following the European Central Bank’s cut of the same amount on Jan. 30. Many economies seem to be settling into a lower-rate environment as policymakers look to boost economic growth. That’s in stark contrast with the U.S. — it’s unclear if the U.S. Federal Reserve would even deliver on its two rate cuts in 2025, forecast in December, given the uncertainties over the economic impact of U.S. President Donald Trump’s policies. Moreover, Trump seems to have backed off from applying pressure on the Fed. Ahead of Trump’s inauguration, the U.S. dollar began strengthening and hit its highest level in more than two years, as measured by the U.S. dollar index. That’s already affected companies such as Amazon, which blamed the currency for weighing down its expected revenue in the current quarter. The U.S. might have an edge over other economies and stock markets for now, but an edge can cut both ways."
"Japan’s household spending massively beats expectations, boosting case for further BOJ hikes","PUBLISHED THU, FEB 6 20256:48 PM EST",
"CNBC Daily Open: As Trump pauses tariffs on Mexico and Canada, China makes its move","PUBLISHED TUE, FEB 4 20252:30 AM EST","This report is from today’s CNBC Daily Open, our international markets newsletter. CNBC Daily Open brings investors up to speed on everything they need to know, no matter where they are. Like what you see? You can subscribe here. The tariffs are not happening immediately — at least for Mexico and Canada. In what appeared to be another successful deal negotiated by U.S. President Donald Trump, the two countries agreed to ramp up their border protection, leading to a pause in tariffs. Markets heaved a sigh of relief and made sharp turnarounds on the news. But persistent jitters about long-term uncertainty kept stocks from having a positive day. Trump’s comments on Sunday that he agreed with the U.S. Federal Reserve’s decision to keep interest rates unchanged could have also watered down investors’ expectations (however far-fetched) for lower rates. Alphabet’s earnings, releasing later today, might attract the most attention, but in the current Trump-dominated context, it’d be interesting to see how Toyota Motor
and Ford
, which report earnings Wednesday, talk about — or around — how tariffs will affect their businesses."
"Asia’s capital market needs a ‘Taylor Swift’ of IPOs to catalyze listings, venture capitalist says","PUBLISHED TUE, FEB 4 202512:33 AM EST",
China retaliates with additional tariffs of up to 15% on select U.S. imports starting Feb. 10,"PUBLISHED TUE, FEB 4 202512:14 AM EST",
Asian currencies weaken as Trump tariffs strengthen the greenback — Indian rupee hits record low,"PUBLISHED MON, FEB 3 20251:27 AM EST",
CNBC’s Inside India newsletter: How China’s DeepSeek could benefit India,"PUBLISHED THU, JAN 30 202510:33 AM EST","Monday - Friday, 11:00 - 12:00 SIN/HK | 0500 - 06:00 CET"
Japan and Aussie stocks break ranks with Wall Street to rise; most Asia markets closed for holiday,"PUBLISHED WED, JAN 29 20256:36 PM EST",
Japan and Aussie stocks rise as Wall Street stages a sharp recovery; most Asia markets closed for holiday,"PUBLISHED TUE, JAN 28 20256:55 PM EST",
CNBC Daily Open: Gold prices might be a warning to bull market,"PUBLISHED MON, JAN 27 20252:30 AM EST","This report is from today’s CNBC Daily Open, our international markets newsletter. CNBC Daily Open brings investors up to speed on everything they need to know, no matter where they are. Like what you see? You can subscribe here."
Asset manager says China’s ‘extreme valuations’ look ideal for stock picking,"PUBLISHED FRI, NOV 15 20241:12 AM EST",
"Japan GDP expands by 0.3% in third quarter, snapping two quarters of year-on-year declines","PUBLISHED THU, NOV 14 20247:10 PM EST",
Why the Japanese yen is hovering near three-month lows against the dollar,"PUBLISHED THU, OCT 24 20244:22 AM EDT",
CNBC Daily Open: The S&P could continue its ascent despite pausing,"PUBLISHED WED, OCT 23 20242:41 AM EDT","This report is from today’s CNBC Daily Open, our international markets newsletter. CNBC Daily Open brings investors up to speed on everything they need to know, no matter where they are. Like what you see? You can subscribe here."
IMF hikes UK growth outlook amid lower inflation and interest rates,"PUBLISHED TUE, OCT 22 20249:02 AM EDT",
World’s largest sovereign wealth fund posts $76 billion in quarterly profit as interest rates fall,"PUBLISHED TUE, OCT 22 20246:06 AM EDT",
CNBC Daily Open: Everyone’s watching Netflix shares,"PUBLISHED MON, OCT 21 20242:30 AM EDT","This report is from today’s CNBC Daily Open, our international markets newsletter. CNBC Daily Open brings investors up to speed on everything they need to know, no matter where they are. Like what you see? You can subscribe here."
CNBC Daily Open: September’s blockbuster jobs report changes the calculus,"PUBLISHED MON, OCT 7 20242:30 AM EDT","This report is from today’s CNBC Daily Open, our international markets newsletter. CNBC Daily Open brings investors up to speed on everything they need to know, no matter where they are. Like what you see? You can subscribe here."
Japan leads Asia markets higher; Nintendo rallies after Saudi fund reportedly looks to raise stake,"PUBLISHED SUN, OCT 6 20247:42 PM EDT",
Japan PM Shigeru Ishiba asks ministers to craft economic relief package to cushion inflation impact,"PUBLISHED FRI, OCT 4 20242:13 AM EDT",
"CNBC Daily Open: Buffeted by Middle East, propelled by China","PUBLISHED THU, OCT 3 20242:30 AM EDT","This report is from today’s CNBC Daily Open, our international markets newsletter. CNBC Daily Open brings investors up to speed on everything they need to know, no matter where they are. Like what you see? You can subscribe here."
Japan still expected to stick to hiking cycle despite PM Ishiba’s dovish turn,"PUBLISHED WED, OCT 2 202411:43 PM EDT",
Hong Kong stocks rally over 6% in sixth straight day of gains,"PUBLISHED TUE, OCT 1 20247:59 PM EDT",
"Japan’s next prime minister is a career dissenter, but experts doubt he can govern as one","PUBLISHED MON, SEP 30 202411:41 PM EDT",
Asia-Pacific markets mixed after Powell signals smaller rate cuts; China markets closed for holiday,"PUBLISHED MON, SEP 30 20247:45 PM EDT",
European shares close lower on last trading day of September,"PUBLISHED MON, SEP 30 20241:28 AM EDT","LONDON — European stocks closed lower on Monday, starting the week and ending the final trading session of September in negative territory."
ValueAct takes a stake in Sanwa. How the activist can make a good company into a great one,"PUBLISHED SAT, SEP 28 20248:11 AM EDT","Business: Sanwa Holdings
is a Japan-based company mainly engaged in the manufacture and sale of building and commercial facility construction materials, as well as the provision of maintenance and renovation services. It operates in three geographic segments: Japan, North America and Europe. Its offerings include shutters, doors for buildings and housing, partitions, stainless products, front-desk products, windows and exterior products. Stock Market Value: 874.8 billion Japanese yen (3,820.00 yen per share)"
CNBC Daily Open: More all-time highs? Yes please,"PUBLISHED FRI, SEP 27 20242:56 AM EDT","This report is from today’s CNBC Daily Open, our international markets newsletter. CNBC Daily Open brings investors up to speed on everything they need to know, no matter where they are. Like what you see? You can subscribe here."
Shigeru Ishiba is set to become Japan’s next prime minister after winning ruling party leadership election,"PUBLISHED THU, SEP 26 202411:10 PM EDT",
"Bank of Japan board members split over monetary policy path, meeting minutes show","PUBLISHED THU, SEP 26 20241:25 AM EDT",
Europe stocks close 1.2% higher as household goods lead gains; luxury giants LVMH and Kering rally,"PUBLISHED THU, SEP 26 202412:37 AM EDT","LONDON — European stocks closed higher on Thursday, spurred on by overnight gains in Asia-Pacific markets. The pan-European Stoxx 600 ended the session up 1.25%, with most sectors and major bourses in positive territory. Household goods led gains, closing up around 4.6%, while mining and tech stocks added 4.3% and 3%, respectively. Oil and gas stocks fell 3% as crude prices dropped on a Financial Times report that Saudi Arabia is preparing to scrap its unofficial oil price target of $100 per barrel. Energy firms including BP, Shell
and TotalEnergies
all ended more than 3% lower."
Chinese stocks close sharply higher after Beijing affirms stimulus measures; property stocks spike,"PUBLISHED WED, SEP 25 20247:42 PM EDT",
"10 things to watch in the stock market Tuesday, including long-awaited China stimulus","PUBLISHED TUE, SEP 24 20249:00 AM EDT","1. Wall Street is looking at a higher open Tuesday, one day after the S&P 500
closed at a record high. China related stocks were on the move Tuesday after the People’s Bank of China said it will cut interest rates. The Chinese central bank also unveiled other stimulus measures. 2. Club name Starbucks
was downgraded to an underperform sell rating from hold at Jefferies. The analysts don’t seem to be believers in new CEO Brian Niccol, the former boss of Chipotle. They characterized the stock gains since the CEO switch as too much, too soon. They think a reset to Starbucks fiscal 2025 guide is coming. What the Jefferies downgrade misses is the market is giving Starbucks a pass as Niccol builds his team and makes changes. 3. Truist downgraded Club holding Costco
to a hold rating ahead of earnings, which are out after Thursday’s close. The analysts said the stock’s valuation leaves little room for error. We can’t argue against the stock being expensive but it always is. Truist also upgraded Walmart to buy on accelerating share gains and fast-growing higher margin revenue streams like advertising."
"Asia markets mostly rise as investors digest Fed rate cut, policy moves from regional central banks","PUBLISHED SUN, SEP 22 20248:01 PM EDT",
"In U.S. trade war with China, Mexico is emerging as the big winner","PUBLISHED FRI, SEP 20 20242:43 PM EDT",
