headline,source,intro
Apple's AI-infused Siri may not show up until spring 2026,Engadget,"Apple might not release its Apple Intelligence update to Siri until Spring 2026, nearly two years after it first announced the more capable version of its..."
Apple won't release an updated Siri until spring 2026 — Bloomberg,Mezha.Media,"Apple intends to release the new Siri, first introduced at WWDC 2024, only in the spring of 2026, along with the iOS 26.4 update."
"Apple’s 2025 WWDC unveils iOS software revamp, AI plans, and more",Fast Company,Apple's annual conference for developers showcased a redesigned iOS 26 and plans for more artificial intelligence tools.
I was disappointed (yet again) that Apple hasn’t debuted the updated Siri,Stuff,"Siri's Personal Context feature was debuted at WWDC 2024, then delayed, and now a full year on is nowhere to be seen – and I'm not happy."
Apple Executives Discuss WWDC and Delayed Siri Features in Interviews,MacRumors,Apple Executives Discuss WWDC and Delayed Siri Features in Interviews ... Apple's software engineering chief Craig Federighi and marketing chief Greg Joswiak went...
Apple punts on Siri updates as it struggles to keep up in the AI race,The Verge,"Apple is struggling to keep up with Google, OpenAI, Anthropic, and others in the generative AI race. At WWDC 2025, the company only briefly mentioned Siri."
"Apple's WWDC Was a 'Yawner,' Wedbush Says, But Analysts Are Still Bullish",Investopedia,Apple is late to the artificial intelligence party. That's what Wedbush analysts said after the company's Worldwide Developers Conference keynote didn't...
"Watch: WWDC INTERVIEW: Craig & Joz on Why Siri's Not Ready, AI Vision and iPadOS Shocker!",Tom's Guide,"From the truth of the Siri reboot delay to Apple Intelligence's bold vision and the surprise of iPadOS stealing the show, this interview covers it all."
Siri's AI Glow-Up Was a No-Show at WWDC 2025,Tech Times,"To date, the major Siri generative AI revamp remains unreleased, with Apple lagging behind competitors in the voice assistant space."
How macOS Tahoe’s Spotlight upgrade sets the stage for a smarter Siri,Boy Genius Report,"Apple Intelligence was not the primary focus of WWDC 2025, and I'm glad Apple took a more cautious approach this year. There are a few Apple Intelligence..."
Apple admits its AI-powered Siri 'just doesn't work reliably enough',Yahoo,"Apple has, for the first time, provided a more detailed explanation as to why the new AI-powered version of Siri that it teased last year has been delayed."
‘This Work Needed More Time’: Apple Delays Siri Upgrade to Spring 2026,eWEEK,"Apple's Siri AI overhaul has reportedly been delayed to spring 2026. New features promise smarter responses, app control, and on-screen awareness."
Apple gives its most detailed explanation yet for its bungled new-and-improved Siri delay,Business Insider,Apple is opening up about why your iPhone doesn't have a more personalized AI-powered Siri yet. It's a relatively rare example of the company speaking at...
"WWDC: Apple Intelligence Will Have Live Translation, But No New Siri Features – Yet",eWEEK,"WWDC: Apple Intelligence Will Have Live Translation, But No New Siri Features – Yet ... eWEEK content and product recommendations are editorially independent. We..."
"This is what really happened with Siri and Apple Intelligence, according to Apple",TechRadar,"There's no denying that Apple's Siri digital chatbot didn't exactly hold a place of honor at this year's WWDC 2025 keynote. Apple mentioned it, and..."
WWDC 25: Apple Focuses on a New User Interface and Fails to Deliver a More Personalized Siri [Watch],IBL News,"WWDC 25: Apple Focuses on a New User Interface and Fails to Deliver a More Personalized Siri [Watch]. By. IBL News. -. June 10, 2025. Twitter."
Apple Plans to Release Delayed Siri Apple Intelligence Features in Spring 2026,MacRumors,"Apple is aiming to debut its delayed personalized Siri features in the spring of 2026, reports Bloomberg's Mark Gurman. Gurman claims that Apple..."
We learned two facts about the AI Siri upgrade during WWDC 25,MobileSyrup,"We learned two facts about the AI Siri upgrade during WWDC 25. Only half the news came from Apple, the other half from Mark Gurman."
Apple Fails to Clear a Low Bar on AI,WSJ,The company wrapped the opening keynote of its annual developers' conference on Monday with no major surprises about its AI efforts.
"Apple WWDC Interview: Craig Federighi and Joz on Siri delay, new Apple Intelligence features and what's next for AI",Vocal,"**Apple Delays Next-Gen Siri, Prioritizes Quality Over Speed at WWDC 2025**. Greg ""Joz"" Joswiak, Senior Vice President of Worldwide Marketing, and Craig..."
Apple Might Ship Siri AI Upgrade With iOS 26.4,Lowyat.NET,Apple avoided mentioning the Siri AI upgrade at this year's WWDC keynote despite heavily promoting the on-device assistant at last year's event.
"At WWDC 2025, Apple Puts AI on the Back Burner to Show Us What It Does Best",Yahoo,"Last year, Apple's WWDC keynote was jam-packed with AI promises and unbridled ambitions. This year, the tech giant scaled back its Apple Intelligence..."
Apple categorically denies Siri vaporware claim in video interview,9to5Mac,"There's no denying that Apple made a major mis-step when it showed off impressive new Siri features during last year's WWDC, before doubling-down in an..."
"Apple's big Siri AI upgrade could arrive in iOS 26 update this spring, says report",The Shortcut | Matt Swider,The delayed update was originally promised back at WWDC 2024.
Apple's most prominent product struggle was on stark display at WWDC,SFGATE,"Apple's issues with Siri, which seemed like the perfect product to quickly benefit from AI advancements, are now fully in the public eye."
WWDC25: Apple confirms delayed AI-powered Siri features coming in 2026,Business Standard,"Apple has confirmed that its advanced AI-powered Siri features will not launch until 2026. During WWDC 2025, Apple's Senior Vice President of Software..."
WWDC 2025 Live: Apple announces new OS for MacBook and iMac: macOS Tahoe,Fortune India,"Apple is all set to kick off the much-anticipated annual Worldwide Developers Conference 2025 (WWDC), with its keynote presentation broadcasting live from..."
We might have to wait until March 2026 for Siri’s AI upgrade,Boy Genius Report,"Bloomberg reports that Siri's AI upgrade has now been delayed until iOS 26.4, which will likely roll out in March 2026."
"Apple Execs Insist The Personalized Siri Demo Was Genuine, Saying The Feature Was ‘Real’ And ‘Working,’ But It Was Delayed Due To Reliability Concerns, Says Federighi And Joswiak",Wccftech,"Apple has defended its Personalized Siri feature, stating the WWDC demo was real and delays were due to quality standards."
"Apple Explains Why It Delayed AI Siri, Confirms It Won't Arrive Until 2026",PCMag,"After WWDC 2025, Apple spoke through why the company delayed its AI-powered Siri. It first teased what the tool would be able to do at WWDC 2024."
"Apple fumbled its personal AI debut, but the alternative was far worse",Fast Company,"This week, the company explained why it was forced to retreat from the cool Siri AI features it announced a year ago."
Apple reportedly targets 'spring 2026' for launch of delayed AI Siri upgrade – but is that too late?,TechRadar,Apple's much-anticipated Siri upgrade is rumored to arrive in 'spring 2026'; A new report from Mark Gurman at Bloomberg claims Apple Intelligence-powered...
Apple Sidelines Siri at WWDC 2025 Amid AI Competition Pressure,The Hans India,"Apple Sidelines Siri at WWDC 2025 Amid AI Competition Pressure ... Apple delays major Siri upgrades again, spotlighting competitors' AI advancements as users..."
Here are Apple’s top AI announcements from WWDC 2025,TechCrunch,"At WWDC 2025, Apple announced several AI features, such as a workout coach, live translation, and more."
Wall Street Was Underwhelmed by Apple's Big Day,Business Insider,"Apple revealed iOS 26 featuring Liquid Glass at WWDC 2025, but the lack of a killer AI feature left analysts questioning its competitive edge."
Apple WWDC: ‘The silence surrounding Siri was deafening’,Performance Marketing World,"This update builds on Apple's 2023 introduction of tracking parameter removal in Private Browsing mode. Now, the feature is rolling out silently and..."
"Apple explains Siri delays, teases more new features are coming",9to5Mac,"During its WWDC keynote, Apple addressed one big elephant in the room: Siri's delayed features that were announced last year but never shipped."
What went wrong with Siri: Apple's Craig Federighi and Greg Joswiak explain why the ‘new’ Siri ‘just don’,The Times of India,"Tech News : Apple's software head, Craig Federighi, revealed that the much-awaited AI-powered Siri upgrades, showcased at WWDC 2024, are delayed until 2026."
"Apple's Siri AI Upgrade Is Coming This 2026, New Report Suggests its Releasing via iOS 26.4",Tech Times,"After Apple's executive confirmed that 2026 is Siri's AI upgrade year, a new report revealed what version it is most likely coming with."
"WWDC 2025: iOS 26 unveiled with Liquid Glass design, Apple Intelligence gets ChatGPT support and everything announced",Mint,"Apple WWDC 2025 LIVE Updates: At WWDC 2025, Apple unveiled the new “Liquid Glass” design across all platforms, a unified Games App, and upgrades to Apple..."
Apple's upgraded AI-powered Siri could come in 2026 with iOS 26.4,Business Today,"Apple's long-awaited Siri overhaul is now slated for release in spring 2026, with the upgraded assistant expected to arrive as part of iOS 26.4."
Siri may not get an AI upgrade until next Spring — what we know,Tom's Guide,"The failure to deliver Siri, as originally promised at WWDC 2024, has been a real low point for Apple Intelligence. We know that Siri will still get the..."
Apple Still Doesn’t Have The AI-Powered Smarter Siri Ready,GLITCHED,"During WWDC 25, Apple says the promised AI tools announced last year for Siri aren't ready and there's just no sign as to when we'll get them."
"While 'iOS 26' Will Ship in 2025, 'Siri 26' Will Ship in 2026",Spyglass.org,"In a troubling continuation of their weasel-wording, Apple kept saying at WWDC this year that the new Siri features – you know, the ones promised last year,..."
Apple confirms Siri’s delayed features won’t ship until 2026,9to5Mac,"Apple executives have narrowed the timeline of when to expect Siri's delayed AI upgrades, confirming they will release in 2026 and no sooner."
Siri 2.0 release window just tipped in new report — here's when it could arrive,Tom's Guide,"An updated AI-based Siri was promised last year but has been delayed for months. After WWDC 2025, it was still unclear when the overhauled Siri would launch..."
Bloomberg: Apple now targeting iOS 26.4 for long-delayed Siri AI upgrade,9to5Mac,"According to the report, Apple plans to ship the upgraded Siri experience as part of iOS 26.4, an update typically released in March."
"Apple Execs on AI Setbacks, Siri Delays, iPads and More (Full Interview)",Yahoo Finance,WSJ's Joanna Stern sits down with Apple software chief Craig Federighi and marketing head Greg Joswiak at WWDC 2025 in Cupertino to talk about the future of...
Apple Executives Explain Siri AI Overhaul Delay,Lowyat.NET,"In an interview with WSJ during WWDC 2025, Apple executives have shed new light on its Siri AI overhaul delay."
"WWDC 2025: Siri Delay, iPhone Upgrade Cycle Concerns Temper Wall Street Reaction",Stocktwits,"UBS and Needham flagged Apple's underwhelming Siri updates, now delayed until 2026, as a key disappointment."
Apple WWDC: Greg Joswiak admits Siri revamp was pulled for falling short,9News,"Apple's Greg Joswiak speaks to Trevor Long about AI, Siri and why a previously announced update didn't eventuate."
Apple's AI rollout leaves Siri behind & long-time fans are asking questions,AppleInsider,"Apple software chief Craig Federighi confirmed Monday that promised artificial intelligence upgrades to Siri have been delayed, saying the company needs..."
"Sorry Siri fans, don’t expect those delayed Apple Intelligence features until 2026",Macworld,"In a recent interview, Apple execs confirm that those Siri features are not coming later this year."
Apple WWDC 2025: Siri AI upgrade pushes back to 2026,Daily Jang,"The AI-powered, 'more personalized' Siri will not be available before 2026, marking a noticeable setback in an evolving AI realm."
"Where’s the Wow, Apple? WWDC 2025 Was All Hype, No Substance",HomeTheaterReview,"WWDC used to be where Apple dropped jaws; this year, it barely raised eyebrows."
Apple is on a mission to supercharge Siri – Gene Munster,MacDailyNews,"Apple's approach to AI is two-fold. First, keep making their world class hardware, software and services even better. Second, release a new version of Siri."
Apple’s Craig Federighi Explains Why Siri Redesign is Taking So Long,iPhone in Canada,"In a post-WWDC interview, Apple's Software Engineering head Craig Federighi explained why the anticipated Apple Intelligence Siri overhaul is taking so..."
Too Unreliable: Apple explains delay in AI using Siri,Teltarif.de,"A year ago, Apple announced plans to use Siri, a personalised speech assistant with artificial intelligence under the hood, but the iPhone group had to..."
Apple's Big Siri Update Still Isn't Ready For Primetime,Mashable India,Our darling voice assistant got shut out during Apple's WWDC 2025 keynote.
Apple’s WWDC underwhelms,New Electronics,AI announcements were limited to incremental features and upgrades despite growing pressure on Apple to up its game against its competitors.
Siri was mostly missing in Apple’s AI updates this week.,The Verge,"The Verge's new senior AI reporter, Hayden Field, noticed we didn't hear the name of Apple's assistant very much during the WWDC 2025 keynote on Monday."
Apple unveiled its biggest software redesign in over a decade,Business Insider,"The tech giant showcased ""Liquid Glass"" for iPads, Mac, and more products at its WWDC developer conference."
"Apple WWDC Day 4: Actions, icons, and always-on attention- How Apple is rewriting the B2C engagement funnel",Financial Express,"Apple WWDC 2025 Day 4 reveals tools reshaping B2C marketing—interactive snippets, watchOS widgets, and visionOS for always-on brand engagement."
Apple’s AI gamble: is it too late?,The Australian,A much-hyped upgrade of Siri to catapult its voice assistant into the AI era is still a work in progress. Software boss Craig Federighi said it needed “more...
How one sentence from Apple’s VP of software engineering at WWDC 2025 may have wiped $75 billion from com,Times of India,"Tech News : Apple's stock plummeted during WWDC, erasing $75 billion in market value, triggered by updates on its AI initiatives, particularly Siri."
Apple Unveils New AI Features at WWDC—but Siri Overhaul Delayed Again,Bia Ali,"At its Worldwide Developers Conference on June 9, Apple introduced a major design refresh across its operating systems, dubbed “Liquid Glass,” alongside..."
Apple to Release Advanced Siri for iPhone With iOS 26.4 Update in Spring 2026: Report,Gadgets 360,"During WWDC 2024, Apple previewed the iOS 18 firmware and a major highlight of the update was shown to be the new artificial intelligence (AI) suite."
Apple execs reveal reasons behind AI-driven Siri delay,India Today,"Apple recently unveiled the iOS 26 during the WWDC 2025. While the company spoke about several upcoming features, it hardly mentioned Siri,..."
"WWDC 2025: Apple highlights AI in apps, but not in Siri",Digit,"Meanwhile, Apple is still stalling. It's an odd contradiction: Apple has the best AI marketing name in the game, but the assistant that should embody it, the..."
"Siri AI still planned for iOS 26, but you'll have to wait",inkl,"There's something of an elephant in the room at Apple Park. A little over a year ago, at WWDC 2024, the brand announced a new all-singing, all-dancing,..."
WWDC 2025 live: Watch all the latest Apple developments live with us,Digital Camera World,WWDC 2025 is hours away and developments are circulating for photographers and all Apple fans – watch along LIVE with us and get expert commentary.
"Apple's truly smart Siri is coming next spring, report claims",Mashable SEA,"Apple's AI-enhanced Siri is probably coming in the spring of 2026, a new report claims. This is according to Bloomberg's Mark Gurman, who claims that this..."
Siri AI Upgrade Missed The Mark In First Attempt - Apple’s Software SVP Craig Federighi,Techlusive,"Apple has delayed its Siri AI upgrade to 2026, saying early versions weren't reliable enough to release. Know all details."
Apple Confirms The ‘Personal’ Siri AI Upgrade Not Coming Till Next Year,News18,Apple Siri AI upgrade is not expected to release anytime soon and the company shared the news at the WWDC 2025 keynote this week.
"Apple’s next-gen Siri with AI boost set for spring 2026 launch, says report",Daijiworld,"The tech giant is now internally targeting a Spring 2026 rollout, with the advanced Siri version expected to debut with the iOS 26.4 update."
Apple’s WWDC 2025 kicks off today– Here’s What to Expect￼,Mix93.3,"Apple's WWDC 2025 show kicks off at Apple Park at 10am PT / 1pm ET / 6pm BST on June 9, 2025 – which, as Techradar reports, means we are now very close to..."
Apple’s AI event falls flat as iPhone maker struggles,The Telegraph,Apple's flagship annual showcase has fallen flat as the iPhone maker fails to allay concerns that it is falling behind on artificial intelligence.
Apple missed one major thing at WWDC 2025,Digital Trends,"Apple's WWDC 2025 keynote was packed with updates across the firm's entire ecosystem. From iPhone, iPad and Watch, to Mac, Vision Pro and Apple TV."
"Apple's WWDC Was All Glass, No Vision: What's on Tap to Counter OpenAI, Google?",PCMag Middle East,"Siri was MIA and Apple didn't so much as hint at plans for smart glasses. Instead, we got 'Liquid Glass' and incremental OS updates."
No major Siri upgrade announced at WWDC 2025 as Apple confirms delay until next year,Neowin,"Apple announced that the new AI-powered Siri upgrade that would understand personal context would arrive by fall 2024. However, the roll out was delayed."
"Apple to launch macOS ‘Tahoe’ at WWDC 2025, Siri's AI upgrade expected to be pushed back",Appuals,"Apple is expected to announce at WWDC that it will rename all of its major operating systems, shifting to a release year–based numbering system moving."
Apple software chief reveals what delayed AI-enhanced Siri,Cult of Mac,"Craig Federighi, Apple's head of software development, finally gave more details on why the AI-enhanced new Siri version got delayed for so very long."
Craig Federighi Finally Explains Why Siri Was Delayed—and What’s Coming Next,Android Headlines,"WWDC kicked off yesterday, and as usual, a few Apple execs have gotten face time with different creators, including iJustine, who might be the most."
"Apple WWDC 2025 Event Highlights: Liquid Glass, Live Translation, and More",MobileAppDaily,"Apple unveils Liquid Glass design overhaul and Live Translation at WWDC 2025, while taking a measured approach to AI after Siri delays."
